ido,esperanto,similarity,rank,source
!,edzo,0.9706,1512,bert-alignment
!,sir,0.9703,1512,bert-alignment
!,igas,0.9702,1512,bert-alignment
!--,s-ino,0.9765,2643,bert-alignment
!--,vojaĝis,0.9757,2643,bert-alignment
!--,s-ro,0.9754,2643,bert-alignment
"""la",landa,0.9897,1112,bert-alignment
"""la",malvarma,0.9896,1112,bert-alignment
"""la",krei,0.9895,1112,bert-alignment
"""the",the,0.9888,4921,bert-alignment
"""the",scott,0.9871,4921,bert-alignment
"""the",krei,0.9868,4921,bert-alignment
#,organizas,0.9699,387,bert-alignment
#,irana,0.9698,387,bert-alignment
#,kapablo,0.9697,387,bert-alignment
#alidirekti,ngc-katalogo,0.9473,1218,bert-alignment
#alidirekti,priskribo,0.9445,1218,bert-alignment
#alidirekti,esperanto-asocio,0.9409,1218,bert-alignment
"$18,750",inventisto,0.9772,4114,bert-alignment
"$18,750",kunlaboranto,0.9766,4114,bert-alignment
"$18,750",kunlaboras,0.9763,4114,bert-alignment
"$21,250",inventisto,0.9775,3305,bert-alignment
"$21,250",kovras,0.9767,3305,bert-alignment
"$21,250",organizis,0.9767,3305,bert-alignment
"$23,750",kunlaboranto,0.9775,4033,bert-alignment
"$23,750",inventisto,0.9769,4033,bert-alignment
"$23,750",kovras,0.9769,4033,bert-alignment
"$26,250",komandanto,0.9754,3675,bert-alignment
"$26,250",prezentado,0.975,3675,bert-alignment
"$26,250",prezentita,0.9745,3675,bert-alignment
"$28,750",kontribuas,0.971,3785,bert-alignment
"$28,750",agnoskita,0.9708,3785,bert-alignment
"$28,750",donacis,0.9705,3785,bert-alignment
"$30,000",traktado,0.9712,4968,bert-alignment
"$30,000",irlanda,0.9709,4968,bert-alignment
"$30,000",inventisto,0.9708,4968,bert-alignment
"$31,250",inventisto,0.9773,3646,bert-alignment
"$31,250",reveno,0.9771,3646,bert-alignment
"$31,250",kunlaboranto,0.9764,3646,bert-alignment
%,absoluta,0.9752,3986,bert-alignment
%,cent,0.9749,3986,bert-alignment
%,pour,0.9748,3986,bert-alignment
"%),",eŭropa,0.9845,4051,bert-alignment
"%),",eblaj,0.9835,4051,bert-alignment
"%),",iĝas,0.9834,4051,bert-alignment
&,and,0.9799,1078,bert-alignment
&,ngc,0.9757,1078,bert-alignment
&,scott,0.9749,1078,bert-alignment
"(""la",propila,0.9815,4074,bert-alignment
"(""la",muzikaj,0.9815,4074,bert-alignment
"(""la",alila,0.9813,4074,bert-alignment
(0.04,ringo,0.9733,886,bert-alignment
(0.04,krei,0.9732,886,bert-alignment
(0.04,forigita,0.9725,886,bert-alignment
(0.1,iloj,0.9831,659,bert-alignment
(0.1,eblaj,0.9812,659,bert-alignment
(0.1,km-ojn,0.9807,659,bert-alignment
(0.2,eblaj,0.9827,836,bert-alignment
(0.2,iloj,0.9825,836,bert-alignment
(0.2,eŭropa,0.9811,836,bert-alignment
(0.3,eblaj,0.9824,1060,bert-alignment
(0.3,eŭropa,0.9818,1060,bert-alignment
(0.3,iloj,0.9811,1060,bert-alignment
(0.4,iloj,0.9837,1470,bert-alignment
(0.4,eblaj,0.9831,1470,bert-alignment
(0.4,eŭropa,0.9819,1470,bert-alignment
(0.5,rando,0.9828,1692,bert-alignment
(0.5,ekzameno,0.9825,1692,bert-alignment
(0.5,vojaĝis,0.9825,1692,bert-alignment
(0.6,iloj,0.9832,1464,bert-alignment
(0.6,eblaj,0.9822,1464,bert-alignment
(0.6,foje,0.9813,1464,bert-alignment
(0.7,eblaj,0.9824,2765,bert-alignment
(0.7,eŭropa,0.9819,2765,bert-alignment
(0.7,iloj,0.9811,2765,bert-alignment
(0.8,eblaj,0.9831,1937,bert-alignment
(0.8,eŭropa,0.9828,1937,bert-alignment
(0.8,iloj,0.9819,1937,bert-alignment
(0.9,iloj,0.9835,2501,bert-alignment
